nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2021-02-22T02:01:06Z,{'name': 'JavaScript'},{'totalCount': 97628},{'totalCount': 0},{'totalCount': 198},{'totalCount': 121},{'totalCount': 194}
d3/d3,2010-09-27T17:22:42Z,2021-02-07T19:52:05Z,{'name': 'JavaScript'},{'totalCount': 95822},{'totalCount': 163},{'totalCount': 435},{'totalCount': 2066},{'totalCount': 2070}
vinta/awesome-python,2014-06-27T21:00:06Z,2021-02-13T16:36:09Z,{'name': 'Python'},{'totalCount': 94318},{'totalCount': 0},{'totalCount': 523},{'totalCount': 186},{'totalCount': 190}
facebook/react-native,2015-01-09T18:10:16Z,2021-02-23T09:17:26Z,{'name': 'JavaScript'},{'totalCount': 93507},{'totalCount': 150},{'totalCount': 616},{'totalCount': 19782},{'totalCount': 20918}
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2021-02-23T12:13:31Z,{'name': 'Python'},{'totalCount': 90522},{'totalCount': 329},{'totalCount': 1503},{'totalCount': 19545},{'totalCount': 22762}
electron/electron,2013-04-12T01:47:36Z,2021-02-23T02:36:42Z,{'name': 'C++'},{'totalCount': 90371},{'totalCount': 688},{'totalCount': 11257},{'totalCount': 13053},{'totalCount': 14592}
facebook/create-react-app,2016-07-17T14:55:11Z,2021-02-22T18:24:09Z,{'name': 'JavaScript'},{'totalCount': 86136},{'totalCount': 81},{'totalCount': 1853},{'totalCount': 5960},{'totalCount': 6753}
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2021-02-20T13:20:53Z,,{'totalCount': 84217},{'totalCount': 0},{'totalCount': 138},{'totalCount': 233},{'totalCount': 257}
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2021-01-24T15:39:50Z,,{'totalCount': 83934},{'totalCount': 0},{'totalCount': 303},{'totalCount': 83},{'totalCount': 176}
golang/go,2014-08-19T04:33:40Z,2021-02-23T12:15:09Z,{'name': 'Go'},{'totalCount': 82346},{'totalCount': 0},{'totalCount': 0},{'totalCount': 36086},{'totalCount': 42720}
axios/axios,2014-08-18T22:30:27Z,2021-02-23T05:54:25Z,{'name': 'JavaScript'},{'totalCount': 81896},{'totalCount': 26},{'totalCount': 372},{'totalCount': 2639},{'totalCount': 2864}
nodejs/node,2014-11-26T19:57:11Z,2021-02-23T11:25:41Z,{'name': 'JavaScript'},{'totalCount': 77148},{'totalCount': 211},{'totalCount': 2899},{'totalCount': 11821},{'totalCount': 12818}
